Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2018-09-06 00:00:00.000000 ,6697.27,6725.0,6313.23,6462.03,10412.570985,2018-09-06 00:59:59.999000 ,67250555.55660811,47278,4643.427169,29969318.2933731,0
2018-09-06 01:00:00.000000 ,6462.03,6478.99,6405.0,6436.97,4445.339295,2018-09-06 01:59:59.999000 ,28610415.89925108,16869,2273.224693,14630057.63264682,0
2018-09-06 02:00:00.000000 ,6432.8,6511.55,6432.8,6471.99,3907.696522,2018-09-06 02:59:59.999000 ,25288514.49867523,14680,2329.673779,15076363.38885598,0
2018-09-06 03:00:00.000000 ,6471.99,6475.0,6411.0,6444.58,2099.509351,2018-09-06 03:59:59.999000 ,13520196.61971623,9780,1138.902974,7334581.59044629,0
2018-09-06 04:00:00.000000 ,6444.6,6476.46,6422.0,6442.0,2013.750542,2018-09-06 04:59:59.999000 ,12973944.42337637,9171,1133.66153,7304693.384044,0
2018-09-06 05:00:00.000000 ,6448.58,6475.0,6352.74,6402.86,2771.968409,2018-09-06 05:59:59.999000 ,17742992.51129181,12748,1296.632686,8305077.17237954,0
2018-09-06 06:00:00.000000 ,6400.1,6448.0,6373.92,6418.67,2072.223494,2018-09-06 06:59:59.999000 ,13296148.71950021,9549,1239.614663,7954574.5669919,0
2018-09-06 07:00:00.000000 ,6420.25,6437.0,6381.06,6405.88,1924.482374,2018-09-06 07:59:59.999000 ,12337202.33723958,9530,1111.912407,7129727.10672963,0
2018-09-06 08:00:00.000000 ,6405.88,6450.0,6378.99,6433.97,1220.612944,2018-09-06 08:59:59.999000 ,7838645.2980064,7730,663.865053,4264627.40978729,0
2018-09-06 09:00:00.000000 ,6437.18,6438.98,6265.0,6393.96,3564.519008,2018-09-06 09:59:59.999000 ,22688943.57742497,15709,1776.226979,11315748.29385114,0
2018-09-06 10:00:00.000000 ,6393.96,6415.0,6343.37,6379.25,2281.182941,2018-09-06 10:59:59.999000 ,14561552.04779327,9201,1348.721293,8607766.8921406,0
2018-09-06 11:00:00.000000 ,6379.24,6427.44,6375.23,6408.65,1884.30266,2018-09-06 11:59:59.999000 ,12071675.34640712,8621,1084.212273,6946579.9032281,0
2018-09-06 12:00:00.000000 ,6409.41,6419.91,6383.0,6403.02,1719.174375,2018-09-06 12:59:59.999000 ,11015004.18891605,7702,897.325467,5749392.46889425,0
2018-09-06 13:00:00.000000 ,6400.3,6520.0,6388.0,6498.89,3505.550614,2018-09-06 13:59:59.999000 ,22655661.52319103,16307,1872.986118,12102609.37770089,0
2018-09-06 14:00:00.000000 ,6500.4,6533.0,6453.02,6478.04,2477.333457,2018-09-06 14:59:59.999000 ,16071011.26282927,12653,1262.997069,8194651.9618044,0
2018-09-06 15:00:00.000000 ,6478.05,6478.63,6401.0,6422.51,2124.727663,2018-09-06 15:59:59.999000 ,13667949.86696631,10291,1144.8589,7364045.32831718,0
2018-09-06 16:00:00.000000 ,6423.26,6458.15,6395.0,6428.46,2282.754303,2018-09-06 16:59:59.999000 ,14674207.98314001,9385,1299.445269,8353735.7197884,0
2018-09-06 17:00:00.000000 ,6428.46,6450.0,6362.5,6383.0,1223.546672,2018-09-06 17:59:59.999000 ,7855731.23763516,8166,605.004369,3886689.71338967,0
2018-09-06 18:00:00.000000 ,6389.05,6450.0,6359.0,6424.59,1637.939287,2018-09-06 18:59:59.999000 ,10520324.72088187,9272,949.045557,6098410.23987369,0
2018-09-06 19:00:00.000000 ,6422.97,6483.0,6414.05,6474.88,1211.104621,2018-09-06 19:59:59.999000 ,7810389.10383075,7847,758.289264,4890878.95671236,0
2018-09-06 20:00:00.000000 ,6470.68,6473.64,6436.82,6453.0,1424.3702,2018-09-06 20:59:59.999000 ,9190192.67075621,6239,816.382245,5267190.13995489,0
2018-09-06 21:00:00.000000 ,6453.01,6474.11,6428.03,6444.46,1027.294703,2018-09-06 21:59:59.999000 ,6625706.83998332,5573,672.947465,4340805.4613139,0
2018-09-06 22:00:00.000000 ,6442.15,6476.17,6438.55,6474.68,1242.87904,2018-09-06 22:59:59.999000 ,8016497.35158276,5444,766.912343,4946847.08907224,0
2018-09-06 23:00:00.000000 ,6472.61,6544.0,6470.33,6516.01,2169.630767,2018-09-06 23:59:59.999000 ,14108468.6241145,11100,1246.279968,8102952.42558421,0
2018-09-07 00:00:00.000000 ,6516.84,6516.84,6465.0,6494.08,1501.889536,2018-09-07 00:59:59.999000 ,9748865.78200379,8262,780.605781,5066599.36034917,0
2018-09-07 01:00:00.000000 ,6494.06,6530.54,6491.28,6529.95,1536.097047,2018-09-07 01:59:59.999000 ,9996625.79109399,8345,833.107064,5422228.90040591,0
2018-09-07 02:00:00.000000 ,6522.6,6544.0,6482.83,6499.98,2466.052246,2018-09-07 02:59:59.999000 ,16069635.88004821,9897,1315.03305,8568589.71298074,0
2018-09-07 03:00:00.000000 ,6495.57,6510.0,6490.01,6492.27,1298.034411,2018-09-07 03:59:59.999000 ,8440395.26736902,6130,807.904038,5253649.5558309,0
2018-09-07 04:00:00.000000 ,6494.0,6496.78,6470.0,6485.98,1676.912743,2018-09-07 04:59:59.999000 ,10872923.52661952,6716,1032.491217,6694789.0584991,0
2018-09-07 05:00:00.000000 ,6486.48,6515.12,6485.98,6511.4,1176.099314,2018-09-07 05:59:59.999000 ,7648256.61840932,6555,649.061572,4220715.7573819,0
2018-09-07 06:00:00.000000 ,6512.07,6536.0,6453.41,6465.92,1757.93912,2018-09-07 06:59:59.999000 ,11414038.1818775,9703,995.933454,6468588.19623652,0
2018-09-07 07:00:00.000000 ,6464.64,6490.24,6464.02,6486.45,1138.351537,2018-09-07 07:59:59.999000 ,7375887.68225759,7109,500.771738,3244937.11559321,0
2018-09-07 08:00:00.000000 ,6487.2,6489.23,6425.97,6446.92,1581.75399,2018-09-07 08:59:59.999000 ,10201418.35779699,10038,775.647755,5001950.80915739,0
2018-09-07 09:00:00.000000 ,6446.95,6462.0,6430.0,6454.6,1433.414154,2018-09-07 09:59:59.999000 ,9242068.52550475,6888,859.668889,5543243.74856796,0
2018-09-07 10:00:00.000000 ,6454.59,6458.37,6320.0,6363.05,3416.365824,2018-09-07 10:59:59.999000 ,21758779.04431648,18081,1547.439003,9855901.40146253,0
2018-09-07 11:00:00.000000 ,6363.06,6389.42,6340.0,6367.0,1254.979355,2018-09-07 11:59:59.999000 ,7993898.31798026,8209,693.550965,4418222.6746576,0
2018-09-07 12:00:00.000000 ,6367.0,6448.0,6365.05,6428.2,2511.817528,2018-09-07 12:59:59.999000 ,16123224.79942412,8909,1666.763068,10700745.41279845,0
2018-09-07 13:00:00.000000 ,6429.0,6449.0,6418.11,6439.61,1543.777064,2018-09-07 13:59:59.999000 ,9936058.66279427,7011,851.986601,5483320.84621502,0
2018-09-07 14:00:00.000000 ,6438.55,6480.0,6390.0,6415.82,1981.5039,2018-09-07 14:59:59.999000 ,12762034.3597945,9451,1155.943477,7446178.23443071,0
2018-09-07 15:00:00.000000 ,6415.84,6443.02,6350.0,6375.69,1963.050958,2018-09-07 15:59:59.999000 ,12592012.28841925,8893,983.403304,6311683.12380097,0
2018-09-07 16:00:00.000000 ,6373.69,6477.0,6360.0,6438.79,2187.046294,2018-09-07 16:59:59.999000 ,14091730.00500021,11393,1246.125216,8028527.13187311,0
2018-09-07 17:00:00.000000 ,6440.55,6450.0,6386.0,6422.37,1369.352121,2018-09-07 17:59:59.999000 ,8785523.60452844,7975,759.03681,4871177.59210946,0
2018-09-07 18:00:00.000000 ,6422.36,6436.85,6400.01,6417.11,1610.008725,2018-09-07 18:59:59.999000 ,10326357.14893189,5883,826.943835,5305472.98166008,0
2018-09-07 19:00:00.000000 ,6416.55,6435.12,6400.0,6418.99,1455.246431,2018-09-07 19:59:59.999000 ,9344955.21954887,5595,869.725039,5585370.80460002,0
2018-09-07 20:00:00.000000 ,6419.0,6460.0,6411.43,6457.15,1322.572984,2018-09-07 20:59:59.999000 ,8511793.41970936,5835,765.104456,4925232.44798991,0
